file,header,year,seq_len,uncompressed_bytes,zlib_bytes,compression_ratio,bytes_per_base,bits_per_base,two_bit_bytes,ratio_vs_2bit,excess_bits_per_base,overhead_bits_hat,bits_per_base_corrected,ncbi_accession,ncbi_submission_date,ncbi_n_contigs
GCA_000807005.2_ASM80700v2_genomic.fna,"CP074256.1 Salmonella enterica subsp. enterica serovar Infantis strain CFSAN024781 chromosome, complete genome",2021,4705145,4705145,1317651,0.28004471700659594,0.28004471700659594,2.2403577360527676,1176287,1.1201781538009006,0.24035773605276756,27095924.0,0.0,GCA_000807005.2,2021-05-11,1
GCA_001051545.3_ASM105154v3_genomic.fna,"CP140751.2 Salmonella enterica subsp. enterica serovar Newport str. 36804 chromosome, complete genome",2025,4882716,4882716,1367134,0.27999457678882,0.27999457678882,2.23995661431056,1220679,1.11997830715528,0.23995661431056003,28163924.0,0.0,GCA_001051545.3,2025-04-04,1
GCA_001051815.3_ASM105181v3_genomic.fna,"CP140742.2 Salmonella enterica subsp. enterica serovar Newport str. S103RVX chromosome, complete genome ;(+1 contigs)",2025,4841468,4841468,1355423,0.2799611605405633,0.2799611605405633,2.2396892843245064,1210367,1.1198446421622532,0.23968928432450642,27911924.0,0.0,GCA_001051815.3,2025-03-31,2
GCA_000807055.2_ASM80705v2_genomic.fna,"CP074262.1 Salmonella enterica subsp. enterica serovar Livingstone strain CFSAN024717 chromosome, complete genome",2021,4762862,4762862,1332065,0.2796774292431735,0.2796774292431735,2.237419433945388,1190716,1.1187092472092421,0.23741943394538811,27443924.0,0.0,GCA_000807055.2,2021-05-11,1
GCA_001051695.3_ASM105169v3_genomic.fna,"CP140748.2 Salmonella enterica subsp. enterica serovar Newport str. DC_10-446 chromosome, complete genome ;(+1 contigs)",2025,4887392,4887392,1369105,0.280129975250604,0.280129975250604,2.241039802004832,1221848,1.120519901002416,0.2410398020048321,28187924.0,0.0,GCA_001051695.3,2025-03-31,2
GCA_001051625.3_ASM105162v3_genomic.fna,"CP140750.2 Salmonella enterica subsp. enterica serovar Newport str. VA_R100804798 chromosome, complete genome",2025,4881897,4881897,1366892,0.27999197852801894,0.27999197852801894,2.2399358282241515,1220475,1.1199672258751716,0.2399358282241515,28157924.0,0.0,GCA_001051625.3,2025-03-31,1
GCA_001122625.2_10492_1_47_genomic.fna,"OU943337.1 Salmonella enterica subsp. enterica serovar Typhi strain MDUST255 genome assembly, chromosome: 1",2021,4797669,4797669,1343783,0.2800908107666452,0.2800908107666452,2.2407264861331617,1199418,1.120362542499779,0.24072648613316172,27653924.0,0.0,GCA_001122625.2,2021-11-01,1
GCA_001479685.2_ASM147968v2_genomic.fna,"CP123660.1 Salmonella enterica subsp. enterica serovar Kentucky strain CVM N38232 chromosome, complete genome ;(+2 contigs)",2023,4958037,4958037,1387333,0.2798149751605323,0.2798149751605323,2.238519801284258,1239510,1.1192592234027963,0.2385198012842582,28613924.0,0.0,GCA_001479685.2,2023-06-14,3
GCA_001134605.2_10541_2_31_genomic.fna,"OU943336.1 Salmonella enterica subsp. enterica serovar Typhi strain MDUST305 genome assembly, chromosome: 1",2021,4796602,4796602,1343727,0.2801414417956712,0.2801414417956712,2.2411315343653695,1199151,1.1205652999497144,0.2411315343653695,27647924.0,0.0,GCA_001134605.2,2021-11-01,1
GCA_000807035.2_ASM80703v2_genomic.fna,"CP074261.1 Salmonella enterica subsp. enterica serovar Senftenberg strain CFSAN024719 chromosome, complete genome",2021,4821039,4821039,1342099,0.27838376748248667,0.27838376748248667,2.2270701398598933,1205260,1.1135348389559099,0.22707013985989333,27791924.0,0.0,GCA_000807035.2,2021-05-11,1
GCA_001135805.3_ERL072973_genomic.fna,"LT904777.2 Salmonella enterica subsp. enterica serovar Typhi strain ERL072973 genome assembly, chromosome: 1",2021,4782103,4782103,1339185,0.28004101960999167,0.28004101960999167,2.2403281568799334,1195526,1.1201638441991224,0.24032815687993336,27557924.0,0.0,GCA_001135805.3,2021-07-06,1
GCA_001713515.2_ASM171351v2_genomic.fna,"CP074661.1 Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN008104 chromosome, complete genome ;(+1 contigs)",2021,4727578,4727578,1324052,0.2800698370286011,0.2800698370286011,2.240558696228809,1181895,1.1202788741808705,0.24055869622880888,27233924.0,0.0,GCA_001713515.2,2021-06-07,2
GCA_001597795.2_ASM159779v2_genomic.fna,"CP053702.1 Salmonella enterica subsp. enterica serovar Typhi strain CMCST_CEPR_1 chromosome, complete genome ;(+1 contigs)",2020,4917159,4917159,1373473,0.27932247055667714,0.27932247055667714,2.234579764453417,1229290,1.117289655004108,0.2345797644534171,28367924.0,0.0,GCA_001597795.2,2020-06-24,2
GCA_001173525.2_10493_1_75_genomic.fna,"OU943338.1 Salmonella enterica subsp. enterica serovar Typhi strain MDUST348 genome assembly, chromosome: 1",2021,4793333,4793333,1342987,0.28017811405967413,0.28017811405967413,2.241424912477393,1198334,1.120711754819608,0.24142491247739306,27623924.0,0.0,GCA_001173525.2,2021-11-01,1
GCA_001831555.2_ASM183155v2_genomic.fna,"CP075140.1 Salmonella enterica strain CFSAN044865 chromosome, complete genome",2021,5084052,5084052,1423129,0.2799202289827091,0.2799202289827091,2.2393618318616726,1271013,1.1196809159308363,0.2393618318616726,29369924.0,0.0,GCA_001831555.2,2021-06-07,1
GCA_001652385.2_ASM165238v2_genomic.fna,"CP075141.1 Salmonella enterica strain CFSAN033950 chromosome, complete genome ;(+1 contigs)",2021,4930422,4930422,1380385,0.2799729921698386,0.2799729921698386,2.239783937358709,1232606,1.1198915144011956,0.23978393735870895,28445924.0,0.0,GCA_001652385.2,2021-06-07,2
GCA_001756025.2_ASM175602v2_genomic.fna,"CP074663.1 Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN008081 chromosome, complete genome ;(+1 contigs)",2021,4962392,4962392,1389756,0.2800576818598772,0.2800576818598772,2.240461454879018,1240598,1.120230727439509,0.24046145487901782,28637924.0,0.0,GCA_001756025.2,2021-06-07,2
GCA_001831985.2_ASM183198v2_genomic.fna,"CP075135.1 Salmonella enterica strain CFSAN044888 chromosome, complete genome ;(+1 contigs)",2021,4892473,4892473,1370002,0.28002239358295894,0.28002239358295894,2.2401791486636715,1223119,1.1200888875080839,0.24017914866367152,28217924.0,0.0,GCA_001831985.2,2021-06-10,2
GCA_001832255.2_ASM183225v2_genomic.fna,"CP075128.1 Salmonella enterica subsp. diarizonae serovar 60:r:e,n,x,z15 strain CFSAN044923 chromosome, complete genome",2021,5173570,5173570,1448560,0.27999234571098874,0.27999234571098874,2.23993876568791,1293393,1.1199689498860748,0.23993876568790995,29909924.0,0.0,GCA_001832255.2,2021-06-07,1
GCA_001833225.2_ASM183322v2_genomic.fna,"CP075134.1 Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN044909 chromosome, complete genome",2021,4795558,4795558,1343482,0.280151340052607,0.280151340052607,2.241210720420856,1198890,1.120604892859228,0.241210720420856,27641924.0,0.0,GCA_001833225.2,2021-06-07,1
GCA_001831915.2_ASM183191v2_genomic.fna,"CP075137.1 Salmonella enterica strain CFSAN044885 chromosome, complete genome",2021,4879725,4879725,1366345,0.2800045084507836,0.2800045084507836,2.240036067606269,1219932,1.1200173452290783,0.24003606760626894,28145924.0,0.0,GCA_001831915.2,2021-06-07,1
GCA_001831715.2_ASM183171v2_genomic.fna,"CP075138.1 Salmonella enterica strain CFSAN044875 chromosome, complete genome ;(+1 contigs)",2021,5004869,5004869,1402174,0.280161978265565,0.280161978265565,2.24129582612452,1251218,1.12064724132805,0.24129582612451994,28895924.0,0.0,GCA_001831715.2,2021-06-07,2
GCA_001833255.2_ASM183325v2_genomic.fna,"CP075129.1 Salmonella enterica subsp. enterica serovar Rubislaw strain CFSAN044921 chromosome, complete genome ;(+2 contigs)",2021,5027145,5027145,1407638,0.2800074396103554,0.2800074396103554,2.240059516882843,1256787,1.1200290900526502,0.24005951688284322,29027924.0,0.0,GCA_001833255.2,2021-06-07,3
GCA_001833305.2_ASM183330v2_genomic.fna,"CP075127.1 Salmonella enterica strain CFSAN044925 chromosome, complete genome",2021,4754349,4754349,1331767,0.28011553211596374,0.28011553211596374,2.24092425692771,1188588,1.1204614214513355,0.2409242569277099,27389924.0,0.0,GCA_001833305.2,2021-06-07,1
GCA_001834965.2_ASM183496v2_genomic.fna,"CP075125.1 Salmonella enterica strain CFSAN044945 chromosome, complete genome ;(+1 contigs)",2021,5008883,5008883,1402464,0.2799953602429923,0.2799953602429923,2.2399628819439386,1252221,1.1199812173729717,0.23996288194393856,28919924.0,0.0,GCA_001834965.2,2021-06-07,2
GCA_001972545.2_ASM197254v2_genomic.fna,"CP075118.1 Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN051890 chromosome, complete genome ;(+1 contigs)",2021,4740988,4740988,1327637,0.280033824173358,0.280033824173358,2.240270593386864,1185247,1.120135296693432,0.24027059338686385,27311924.0,0.0,GCA_001972545.2,2021-05-28,2
GCA_001834735.2_ASM183473v2_genomic.fna,"CP075132.1 Salmonella enterica subsp. enterica serovar Inverness strain CFSAN044911 chromosome, complete genome ;(+1 contigs)",2021,5098780,5098780,1428315,0.2801287759032553,0.2801287759032553,2.2410302072260424,1274695,1.1205151036130212,0.2410302072260424,29459924.0,0.0,GCA_001834735.2,2021-06-07,2
GCA_001972625.2_ASM197262v2_genomic.fna,"CP075120.1 Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN051882 chromosome, complete genome ;(+1 contigs)",2021,4740710,4740710,1327630,0.28004876906623694,0.28004876906623694,2.2403901525298955,1185178,1.1201946036797847,0.24039015252989548,27311924.0,0.0,GCA_001972625.2,2021-06-07,2
GCA_002266085.2_ASM226608v2_genomic.fna,"CP075113.1 Salmonella enterica subsp. enterica serovar Dublin strain CFSAN059898 chromosome, complete genome ;(+1 contigs)",2021,4918251,4918251,1378004,0.28018171500397193,0.28018171500397193,2.2414537200317755,1229563,1.1207266321449165,0.24145372003177545,28373924.0,0.0,GCA_002266085.2,2021-06-07,2
GCA_002265865.2_ASM226586v2_genomic.fna,"CP075112.1 Salmonella enterica subsp. enterica serovar Corvallis strain CFSAN059903 chromosome, complete genome",2021,4796034,4796034,1342738,0.279968407229807,0.279968407229807,2.239747257838456,1199009,1.1198731619195519,0.23974725783845585,27641924.0,0.0,GCA_002265865.2,2021-06-07,1
GCA_002266325.2_ASM226632v2_genomic.fna,"CP075116.1 Salmonella enterica subsp. enterica serovar Stanleyville strain CFSAN059881 chromosome, complete genome",2021,4688242,4688242,1312891,0.280039085013103,0.280039085013103,2.240312680104824,1172061,1.1201558621948857,0.24031268010482387,26993924.0,0.0,GCA_002266325.2,2021-06-07,1
GCA_002266205.2_ASM226620v2_genomic.fna,"CP075115.1 Salmonella enterica subsp. enterica serovar Eastbourne strain CFSAN059883 chromosome, complete genome",2021,4568154,4568154,1279476,0.280086004105816,0.280086004105816,2.240688032846528,1142039,1.1203435259216192,0.24068803284652818,26273924.0,0.0,GCA_002266205.2,2021-06-07,1
GCA_002507745.2_ASM250774v2_genomic.fna,"CP075108.1 Salmonella enterica strain CFSAN060808 chromosome, complete genome",2021,4660570,4660570,1305484,0.28011251842585777,0.28011251842585777,2.240900147406862,1165143,1.1204495928825904,0.24090014740686216,26831924.0,0.0,GCA_002507745.2,2021-06-07,1
GCA_001973785.2_ASM197378v2_genomic.fna,"CP075122.1 Salmonella enterica subsp. enterica serovar Enteritidis strain CFSAN051827 chromosome, complete genome ;(+2 contigs)",2021,4774176,4774176,1336896,0.28002654280026545,0.28002654280026545,2.2402123424021236,1193544,1.1201061712010618,0.24021234240212364,27509924.0,0.0,GCA_001973785.2,2021-06-07,3
GCA_002507715.2_ASM250771v2_genomic.fna,"CP075106.1 Salmonella enterica strain CFSAN064276 chromosome, complete genome",2021,4806207,4806207,1344317,0.27970434898039137,0.27970434898039137,2.237634791843131,1201552,1.1188171631356778,0.23763479184313097,27701924.0,0.0,GCA_002507715.2,2021-06-07,1
GCA_002507865.2_ASM250786v2_genomic.fna,"CP075107.1 Salmonella enterica strain CFSAN060809 chromosome, complete genome",2021,4484627,4484627,1256311,0.28013723326376977,0.28013723326376977,2.241097866110158,1121157,1.1205486831906681,0.24109786611015815,25775924.0,0.0,GCA_002507865.2,2021-06-07,1
GCA_002507875.2_ASM250787v2_genomic.fna,"CP075109.1 Salmonella enterica strain CFSAN060807 chromosome, complete genome",2021,4753965,4753965,1331430,0.2800672701629061,0.2800672701629061,2.240538161303249,1188492,1.1202683737038197,0.2405381613032489,27389924.0,0.0,GCA_002507875.2,2021-06-07,1
GCA_002507915.2_ASM250791v2_genomic.fna,"CP075110.1 Salmonella enterica strain CFSAN060804 chromosome, complete genome ;(+1 contigs)",2021,4902428,4902428,1371843,0.2798293009096717,0.2798293009096717,2.2386344072773734,1225607,1.1193172036386867,0.2386344072773734,28277924.0,0.0,GCA_002507915.2,2021-06-07,2
GCA_003064365.2_ASM306436v2_genomic.fna,"CP077711.1 Salmonella enterica subsp. enterica strain CFSAN058606 chromosome, complete genome",2021,4896516,4896516,1370559,0.2799049364895366,0.2799049364895366,2.239239491916293,1224129,1.1196197459581465,0.239239491916293,28247924.0,0.0,GCA_003064365.2,2021-07-20,1
GCA_003064405.2_ASM306440v2_genomic.fna,"CP077693.1 Salmonella enterica subsp. enterica strain CFSAN058605 chromosome, complete genome ;(+2 contigs)",2021,5233451,5233451,1463400,0.2796242861545852,0.2796242861545852,2.2369942892366814,1308363,1.1184969308976178,0.23699428923668142,30263924.0,0.0,GCA_003064405.2,2021-07-20,3
GCA_003030285.2_ASM303028v2_genomic.fna,"CP028199.2 Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN018746 chromosome, complete genome ;(+1 contigs)",2021,4952208,4952208,1386396,0.27995512304814335,0.27995512304814335,2.239640984385147,1238052,1.1198204921925734,0.2396409843851468,28577924.0,0.0,GCA_003030285.2,2021-06-03,2
GCA_003067985.2_ASM306798v2_genomic.fna,"CP077702.1 Salmonella enterica subsp. enterica strain CFSAN058588 chromosome, complete genome ;(+1 contigs)",2021,4752462,4752462,1331720,0.28021686443784294,0.28021686443784294,2.2417349155027435,1188116,1.120866986051867,0.2417349155027435,27377924.0,0.0,GCA_003067985.2,2021-07-20,2
GCA_003067445.2_ASM306744v2_genomic.fna,"CP077704.1 Salmonella enterica subsp. enterica strain CFSAN058565 chromosome, complete genome ;(+1 contigs)",2021,4914097,4914097,1376895,0.280192881825491,0.280192881825491,2.241543054603928,1228525,1.1207708430841863,0.2415430546039281,28349924.0,0.0,GCA_003067445.2,2021-07-20,2
GCA_003067765.2_ASM306776v2_genomic.fna,"CP077696.1 Salmonella enterica subsp. enterica strain CFSAN058598 chromosome, complete genome ;(+2 contigs)",2021,4924024,4924024,1379528,0.2801627286950673,0.2801627286950673,2.2413018295605385,1231006,1.1206509147802692,0.24130182956053847,28409924.0,0.0,GCA_003067765.2,2021-07-20,3
GCA_003064165.2_ASM306416v2_genomic.fna,"CP077691.1 Salmonella enterica subsp. enterica strain CFSAN058620 chromosome, complete genome ;(+1 contigs)",2021,5186229,5186229,1452345,0.280038733345558,0.280038733345558,2.240309866764464,1296558,1.1201542854234057,0.2403098667644641,29981924.0,0.0,GCA_003064165.2,2021-07-20,2
GCA_003067925.2_ASM306792v2_genomic.fna,"CP077699.1 Salmonella enterica subsp. enterica strain CFSAN058591 chromosome, complete genome ;(+2 contigs)",2021,5037636,5037636,1410456,0.27998370664335415,0.27998370664335415,2.239869653146833,1259409,1.1199348265734166,0.23986965314683317,29093924.0,0.0,GCA_003067925.2,2021-07-20,3
GCA_003068025.2_ASM306802v2_genomic.fna,"CP077706.1 Salmonella enterica subsp. enterica strain CFSAN058545 chromosome, complete genome ;(+3 contigs)",2021,4987279,4987279,1396463,0.2800049886922308,0.2800049886922308,2.2400399095378463,1246820,1.1200197301936126,0.24003990953784626,28787924.0,0.0,GCA_003068025.2,2021-07-20,4
GCA_003581245.2_ASM358124v2_genomic.fna,"CP074606.1 Salmonella enterica subsp. enterica serovar Newport str. CFSAN000827 chromosome, complete genome",2021,4893756,4893756,1371142,0.28018192978971573,0.28018192978971573,2.241455438317726,1223439,1.120727719158863,0.24145543831772587,28229924.0,0.0,GCA_003581245.2,2021-05-24,1
GCA_003068145.2_ASM306814v2_genomic.fna,"CP077710.1 Salmonella enterica subsp. enterica strain CFSAN058540 chromosome, complete genome",2021,5212792,5212792,1459029,0.27989396085629353,0.27989396085629353,2.2391516868503483,1303198,1.1195758434251741,0.23915168685034827,30143924.0,0.0,GCA_003068145.2,2021-07-20,1
GCA_003872475.2_ASM387247v2_genomic.fna,"CP074649.1 Salmonella enterica subsp. salamae serovar 6,7:m,t:- strain CFSAN028548 chromosome, complete genome",2021,4584738,4584738,1283666,0.2799867735081045,0.2799867735081045,2.239894188064836,1146185,1.1199466054781733,0.2398941880648362,26375924.0,0.0,GCA_003872475.2,2021-06-07,1
GCA_003869075.2_ASM386907v2_genomic.fna,"CP074610.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. CFSAN000540 strain SGSC 2238 isolate SARA58 chromosome, complete genome",2021,4588964,4588964,1285300,0.2800850039355288,0.2800850039355288,2.2406800314842306,1147241,1.1203400157421153,0.24068003148423056,26399924.0,0.0,GCA_003869075.2,2021-05-24,1
GCA_003790565.2_ASM379056v2_genomic.fna,"CP123698.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS11815075 chromosome, complete genome ;(+1 contigs)",2023,4962395,4962395,1387840,0.2796714086645662,0.2796714086645662,2.2373712693165295,1240599,1.1186854092257046,0.23737126931652952,28637924.0,0.0,GCA_003790565.2,2023-06-14,2
GCA_003872215.2_ASM387221v2_genomic.fna,"CP074623.1 Salmonella enterica strain CFSAN029939 chromosome, complete genome ;(+1 contigs)",2021,5183854,5183854,1451232,0.27995232890432487,0.27995232890432487,2.239618631234599,1295964,1.1198088835800994,0.23961863123459892,29969924.0,0.0,GCA_003872215.2,2021-05-24,2
GCA_003872395.2_ASM387239v2_genomic.fna,"CP074651.1 Salmonella enterica strain CFSAN029945 chromosome, complete genome",2021,4680419,4680419,1310587,0.2800148875560073,0.2800148875560073,2.2401191004480583,1170105,1.1200593109165418,0.2401191004480583,26945924.0,0.0,GCA_003872395.2,2021-05-24,1
GCA_003871895.2_ASM387189v2_genomic.fna,"CP074617.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SGSC 2190 chromosome, complete genome ;(+1 contigs)",2021,4981085,4981085,1394469,0.27995286167571926,0.27995286167571926,2.239622893405754,1245272,1.1198107722650152,0.23962289340575404,28751924.0,0.0,GCA_003871895.2,2021-05-24,2
GCA_003200975.3_ASM320097v3_genomic.fna,"CP140737.2 Salmonella enterica subsp. enterica serovar Newport strain CFSAN003353 chromosome, complete genome",2025,4883883,4883883,1368085,0.2801223944144444,0.2801223944144444,2.2409791553155554,1220971,1.120489348231858,0.24097915531555536,28169924.0,0.0,GCA_003200975.3,2025-04-07,1
GCA_003872565.2_ASM387256v2_genomic.fna,"CP075144.1 Salmonella enterica subsp. diarizonae strain CFSAN030538 chromosome, complete genome ;(+1 contigs)",2021,5011683,5011683,1402496,0.27984531344061464,0.27984531344061464,2.238762507524917,1252921,1.1193810304081422,0.23876250752491712,28937924.0,0.0,GCA_003872565.2,2021-06-07,2
GCA_003872625.2_ASM387262v2_genomic.fna,"CP074626.1 Salmonella enterica strain CFSAN029895 chromosome, complete genome",2021,4991210,4991210,1390057,0.2785010047663793,0.2785010047663793,2.2280080381310343,1247803,1.1140035726793411,0.22800803813103432,28811924.0,0.0,GCA_003872625.2,2021-06-07,1
GCA_003913575.2_ASM391357v2_genomic.fna,"CP082598.1 Salmonella enterica subsp. enterica serovar Newport strain CVM N17S1196 chromosome, complete genome ;(+1 contigs)",2021,5017972,5017972,1406138,0.28022037588093357,0.28022037588093357,2.2417630070474686,1254493,1.1208815035237343,0.24176300704746856,28973924.0,0.0,GCA_003913575.2,2021-09-09,2
GCA_003873385.2_ASM387338v2_genomic.fna,"CP074594.1 Salmonella enterica subsp. salamae strain CFSAN001016 chromosome, complete genome ;(+1 contigs)",2021,4957269,4957269,1388361,0.28006569746366394,0.28006569746366394,2.2405255797093115,1239318,1.1202621119034823,0.24052557970931154,28607924.0,0.0,GCA_003873385.2,2021-05-21,2
GCA_003898995.2_ASM389899v2_genomic.fna,"CP082706.1 Salmonella enterica subsp. enterica serovar 4,[5],12:i:- strain CVM N17S380 chromosome, complete genome ;(+2 contigs)",2021,5046278,5046278,1413026,0.2800135069847519,0.2800135069847519,2.2401080558780153,1261570,1.120053584026253,0.24010805587801531,29141924.0,0.0,GCA_003898995.2,2021-09-09,3
GCA_004185015.2_ASM418501v2_genomic.fna,"CP113987.1 Salmonella enterica subsp. enterica serovar Infantis strain 557658 chromosome, complete genome ;(+2 contigs)",2022,5014929,5014929,1404243,0.2800125385623605,0.2800125385623605,2.240100308498884,1253733,1.1200494842203244,0.2401003084988842,28955924.0,0.0,GCA_004185015.2,2022-12-15,3
GCA_004223785.2_ASM422378v2_genomic.fna,"CP074636.1 Salmonella enterica strain CFSAN029871 chromosome, complete genome ;(+2 contigs)",2021,5159176,5159176,1444314,0.27995051923020264,0.27995051923020264,2.239604153841621,1289794,1.1198020769208106,0.23960415384162115,29819924.0,0.0,GCA_004223785.2,2021-06-07,3
GCA_004222725.2_ASM422272v2_genomic.fna,"CP074593.1 Salmonella enterica subsp. arizonae serovar 41:z4,z23:- str. 01-0089 chromosome, complete genome",2021,4631870,4631870,1297868,0.2802038917327127,0.2802038917327127,2.2416311338617017,1157968,1.120815082972932,0.24163113386170165,26657924.0,0.0,GCA_004222725.2,2021-05-21,1
GCA_004222645.2_ASM422264v2_genomic.fna,"CP074607.1 Salmonella enterica subsp. enterica serovar Typhimurium str. CFSAN000648 strain SGSC 2189 isolate SARA9 chromosome, complete genome ;(+1 contigs)",2021,4880972,4880972,1366296,0.27992293338294094,0.27992293338294094,2.2393834670635275,1220243,1.1196917335317638,0.23938346706352753,28151924.0,0.0,GCA_004222645.2,2021-05-24,2
GCA_004282055.2_ASM428205v2_genomic.fna,"CP082617.1 Salmonella enterica subsp. enterica serovar Infantis strain CVM N17S1592 chromosome, complete genome ;(+1 contigs)",2021,5021201,5021201,1406402,0.28009275071840384,0.28009275071840384,2.2407420057472307,1255301,1.1203703334897368,0.2407420057472307,28991924.0,0.0,GCA_004282055.2,2021-09-09,2
GCA_003878535.2_ASM387853v2_genomic.fna,"CP074668.1 Salmonella enterica subsp. enterica serovar Paratyphi B strain CFSAN008708 chromosome, complete genome ;(+1 contigs)",2021,4908123,4908123,1375186,0.28018572476688136,0.28018572476688136,2.241485798135051,1227031,1.1207426707230705,0.2414857981350509,28313924.0,0.0,GCA_003878535.2,2021-06-07,2
GCA_004280135.2_ASM428013v2_genomic.fna,"CP082619.1 Salmonella enterica subsp. enterica serovar Kentucky strain CVM N17S1545 chromosome, complete genome ;(+4 contigs)",2021,5202742,5202742,1454491,0.279562392292372,0.279562392292372,2.236499138338976,1300686,1.1182491393003384,0.23649913833897607,30083924.0,0.0,GCA_004280135.2,2021-09-09,5
GCA_004323995.2_ASM432399v2_genomic.fna,"CP047525.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SJTUF11077 chromosome, complete genome ;(+1 contigs)",2022,5252019,5252019,1469666,0.27982876680377583,0.27982876680377583,2.2386301344302066,1313005,1.1193148540942341,0.23863013443020664,30377924.0,0.0,GCA_004323995.2,2022-01-07,2
GCA_004324025.2_ASM432402v2_genomic.fna,"CP047531.1 Salmonella enterica subsp. enterica serovar Typhimurium strain SJTUF10484 chromosome, complete genome ;(+3 contigs)",2022,5205376,5205376,1457900,0.28007582929648117,0.28007582929648117,2.2406066343718494,1301344,1.1203033171859247,0.24060663437184937,30095924.0,0.0,GCA_004324025.2,2022-01-07,4
