accession,year,n_bases,optimal_2bit_bytes,zlib_bytes,zlib_bytes_corrected,n_contigs,file
GCA_012218465.2,2021,5648605,1412151.25,1581915,1573674.5,2,GCA_012218465.2_ASM1221846v2_genomic.fna
GCA_012218485.2,2021,5649596,1412399.0,1582204,1573963.5,2,GCA_012218485.2_ASM1221848v2_genomic.fna
GCA_012218565.2,2021,5735080,1433770.0,1606072,1597831.5,3,GCA_012218565.2_ASM1221856v2_genomic.fna
GCA_012218625.2,2021,5648842,1412210.5,1582017,1573776.5,2,GCA_012218625.2_ASM1221862v2_genomic.fna
GCA_012218685.2,2021,5649152,1412288.0,1581992,1573751.5,2,GCA_012218685.2_ASM1221868v2_genomic.fna
GCA_012219005.2,2021,5648807,1412201.75,1582094,1573853.5,2,GCA_012219005.2_ASM1221900v2_genomic.fna
GCA_012219025.2,2021,5649625,1412406.25,1582044,1573803.5,2,GCA_012219025.2_ASM1221902v2_genomic.fna
GCA_012219045.2,2021,5648544,1412136.0,1581955,1573714.5,2,GCA_012219045.2_ASM1221904v2_genomic.fna
GCA_012219065.2,2021,5648723,1412180.75,1582029,1573788.5,2,GCA_012219065.2_ASM1221906v2_genomic.fna
GCA_012219085.2,2021,5649335,1412333.75,1582022,1573781.5,2,GCA_012219085.2_ASM1221908v2_genomic.fna
GCA_012219425.2,2021,5601209,1400302.25,1568561,1560320.5,2,GCA_012219425.2_ASM1221942v2_genomic.fna
GCA_012219465.2,2021,5652943,1413235.75,1582596,1574355.5,2,GCA_012219465.2_ASM1221946v2_genomic.fna
GCA_012220125.2,2021,5649616,1412404.0,1582128,1573887.5,2,GCA_012220125.2_ASM1222012v2_genomic.fna
GCA_012220445.2,2021,5649123,1412280.75,1582128,1573887.5,2,GCA_012220445.2_ASM1222044v2_genomic.fna
GCA_012220465.2,2021,5649172,1412293.0,1582221,1573980.5,2,GCA_012220465.2_ASM1222046v2_genomic.fna
GCA_012221765.2,2021,5649147,1412286.75,1582091,1573850.5,2,GCA_012221765.2_ASM1222176v2_genomic.fna
GCA_012242025.2,2021,5620933,1405233.25,1574003,1565762.5,2,GCA_012242025.2_ASM1224202v2_genomic.fna
GCA_012391955.2,2021,5620718,1405179.5,1573890,1565649.5,2,GCA_012391955.2_ASM1239195v2_genomic.fna
GCA_013374235.2,2021,5172829,1293207.25,1448333,1440092.5,5,GCA_013374235.2_ASM1337423v2_genomic.fna
GCA_013374295.2,2021,5138997,1284749.25,1439244,1431003.5,5,GCA_013374295.2_ASM1337429v2_genomic.fna
GCA_014117345.2,2021,5046283,1261570.75,1414518,1406277.5,3,GCA_014117345.2_ASM1411734v2_genomic.fna
GCA_014904135.2,2021,4777969,1194492.25,1332209,1323968.5,3,GCA_014904135.2_ASM1490413v2_genomic.fna
GCA_014904145.2,2021,4873400,1218350.0,1361516,1353275.5,4,GCA_014904145.2_ASM1490414v2_genomic.fna
GCA_014904175.2,2021,4914062,1228515.5,1361753,1353512.5,3,GCA_014904175.2_ASM1490417v2_genomic.fna
GCA_014904185.2,2021,4862371,1215592.75,1358406,1350165.5,3,GCA_014904185.2_ASM1490418v2_genomic.fna
GCA_014904215.2,2021,4779075,1194768.75,1332500,1324259.5,3,GCA_014904215.2_ASM1490421v2_genomic.fna
GCA_014904235.2,2021,4871057,1217764.25,1358065,1349824.5,3,GCA_014904235.2_ASM1490423v2_genomic.fna
GCA_014904265.2,2021,4896982,1224245.5,1361696,1353455.5,3,GCA_014904265.2_ASM1490426v2_genomic.fna
GCA_014904315.2,2021,4739619,1184904.75,1318152,1309911.5,2,GCA_014904315.2_ASM1490431v2_genomic.fna
GCA_014904435.2,2021,5001593,1250398.25,1397813,1389572.5,4,GCA_014904435.2_ASM1490443v2_genomic.fna
GCA_016403625.2,2021,5624704,1406176.0,1573149,1564908.5,18,GCA_016403625.2_ASM1640362v2_genomic.fna
GCA_016403675.2,2021,5692511,1423127.75,1590833,1582592.5,15,GCA_016403675.2_ASM1640367v2_genomic.fna
GCA_016403875.2,2021,5132179,1283044.75,1438076,1429835.5,2,GCA_016403875.2_ASM1640387v2_genomic.fna
GCA_016403975.2,2021,5177967,1294491.75,1448224,1439983.5,3,GCA_016403975.2_ASM1640397v2_genomic.fna
GCA_016404015.2,2021,5373754,1343438.5,1505379,1497138.5,11,GCA_016404015.2_ASM1640401v2_genomic.fna
GCA_016404165.2,2021,5405532,1351383.0,1513451,1505210.5,12,GCA_016404165.2_ASM1640416v2_genomic.fna
GCA_016404325.2,2021,5287393,1321848.25,1476786,1468545.5,9,GCA_016404325.2_ASM1640432v2_genomic.fna
GCA_016404405.2,2021,5194698,1298674.5,1455653,1447412.5,5,GCA_016404405.2_ASM1640440v2_genomic.fna
GCA_016404485.2,2021,5457891,1364472.75,1525690,1517449.5,8,GCA_016404485.2_ASM1640448v2_genomic.fna
GCA_016458885.1,2021,5566344,1391586.0,1552602,1544361.5,2,GCA_016458885.1_ASM1645888v1_genomic.fna
GCA_016458905.1,2021,5586183,1396545.75,1565268,1557027.5,3,GCA_016458905.1_ASM1645890v1_genomic.fna
GCA_016458925.1,2021,5772391,1443097.75,1609089,1600848.5,3,GCA_016458925.1_ASM1645892v1_genomic.fna
GCA_016458945.1,2021,5730723,1432680.75,1604257,1596016.5,5,GCA_016458945.1_ASM1645894v1_genomic.fna
GCA_016598635.1,2021,5318630,1329657.5,1487184,1478943.5,3,GCA_016598635.1_ASM1659863v1_genomic.fna
GCA_016659085.1,2021,4657252,1164313.0,1305001,1296760.5,1,GCA_016659085.1_ASM1665908v1_genomic.fna
GCA_016696665.1,2021,5451109,1362777.25,1522069,1513828.5,6,GCA_016696665.1_ASM1669666v1_genomic.fna
GCA_016728085.1,2021,5091375,1272843.75,1419454,1411213.5,3,GCA_016728085.1_ASM1672808v1_genomic.fna
GCA_016757655.1,2021,5028010,1257002.5,1407358,1399117.5,1,GCA_016757655.1_ASM1675765v1_genomic.fna
GCA_016767775.1,2021,4993909,1248477.25,1397514,1389273.5,4,GCA_016767775.1_ASM1676777v1_genomic.fna
GCA_016772495.1,2021,5015610,1253902.5,1402887,1394646.5,4,GCA_016772495.1_ASM1677249v1_genomic.fna
GCA_016774415.1,2021,5007066,1251766.5,1402900,1394659.5,2,GCA_016774415.1_ASM1677441v1_genomic.fna
GCA_016775805.1,2021,5086785,1271696.25,1424437,1416196.5,1,GCA_016775805.1_ASM1677580v1_genomic.fna
GCA_016775825.1,2021,5280943,1320235.75,1478495,1470254.5,1,GCA_016775825.1_ASM1677582v1_genomic.fna
GCA_016775845.1,2021,5215672,1303918.0,1460126,1451885.5,1,GCA_016775845.1_ASM1677584v1_genomic.fna
GCA_016775865.1,2021,5256124,1314031.0,1471054,1462813.5,1,GCA_016775865.1_ASM1677586v1_genomic.fna
GCA_016775885.1,2021,5209229,1302307.25,1457786,1449545.5,1,GCA_016775885.1_ASM1677588v1_genomic.fna
GCA_016775905.1,2021,5104263,1276065.75,1429001,1420760.5,1,GCA_016775905.1_ASM1677590v1_genomic.fna
GCA_016775925.1,2021,5191412,1297853.0,1450148,1441907.5,1,GCA_016775925.1_ASM1677592v1_genomic.fna
GCA_016775945.1,2021,5242804,1310701.0,1467533,1459292.5,1,GCA_016775945.1_ASM1677594v1_genomic.fna
GCA_016775965.1,2021,5197546,1299386.5,1456241,1448000.5,1,GCA_016775965.1_ASM1677596v1_genomic.fna
GCA_016775985.1,2021,5348975,1337243.75,1497628,1489387.5,1,GCA_016775985.1_ASM1677598v1_genomic.fna
GCA_016776005.1,2021,4935988,1233997.0,1380595,1372354.5,1,GCA_016776005.1_ASM1677600v1_genomic.fna
GCA_016776025.1,2021,5256191,1314047.75,1470922,1462681.5,1,GCA_016776025.1_ASM1677602v1_genomic.fna
GCA_016776045.1,2021,5180503,1295125.75,1450212,1441971.5,1,GCA_016776045.1_ASM1677604v1_genomic.fna
GCA_016776065.1,2021,5174511,1293627.75,1449133,1440892.5,1,GCA_016776065.1_ASM1677606v1_genomic.fna
GCA_016776085.1,2021,5385668,1346417.0,1508181,1499940.5,1,GCA_016776085.1_ASM1677608v1_genomic.fna
GCA_016776105.1,2021,5188564,1297141.0,1452487,1444246.5,1,GCA_016776105.1_ASM1677610v1_genomic.fna
GCA_016776125.1,2021,5086007,1271501.75,1422907,1414666.5,1,GCA_016776125.1_ASM1677612v1_genomic.fna
GCA_016776145.1,2021,5210247,1302561.75,1458971,1450730.5,1,GCA_016776145.1_ASM1677614v1_genomic.fna
GCA_016776165.1,2021,5230678,1307669.5,1464369,1456128.5,1,GCA_016776165.1_ASM1677616v1_genomic.fna
GCA_016776185.1,2021,5220173,1305043.25,1458173,1449932.5,1,GCA_016776185.1_ASM1677618v1_genomic.fna
GCA_016776205.1,2021,5262652,1315663.0,1474171,1465930.5,1,GCA_016776205.1_ASM1677620v1_genomic.fna
GCA_016776225.1,2021,5165070,1291267.5,1444901,1436660.5,1,GCA_016776225.1_ASM1677622v1_genomic.fna
GCA_016776245.1,2021,5279417,1319854.25,1477867,1469626.5,1,GCA_016776245.1_ASM1677624v1_genomic.fna
GCA_016776265.1,2021,5089794,1272448.5,1425247,1417006.5,1,GCA_016776265.1_ASM1677626v1_genomic.fna
GCA_016776285.1,2021,5192168,1298042.0,1450338,1442097.5,1,GCA_016776285.1_ASM1677628v1_genomic.fna
GCA_016776305.1,2021,5227631,1306907.75,1460283,1452042.5,1,GCA_016776305.1_ASM1677630v1_genomic.fna
GCA_016776325.1,2021,5419042,1354760.5,1516898,1508657.5,1,GCA_016776325.1_ASM1677632v1_genomic.fna
GCA_016776345.1,2021,4832919,1208229.75,1353594,1345353.5,1,GCA_016776345.1_ASM1677634v1_genomic.fna
GCA_016776365.1,2021,4983069,1245767.25,1395851,1387610.5,1,GCA_016776365.1_ASM1677636v1_genomic.fna
GCA_016776385.1,2021,5343645,1335911.25,1496141,1487900.5,1,GCA_016776385.1_ASM1677638v1_genomic.fna
GCA_016779865.1,2021,5294629,1323657.25,1482898,1474657.5,1,GCA_016779865.1_ASM1677986v1_genomic.fna
GCA_016780285.1,2021,4884056,1221014.0,1368461,1360220.5,1,GCA_016780285.1_ASM1678028v1_genomic.fna
GCA_016780415.1,2021,5185152,1296288.0,1451275,1443034.5,1,GCA_016780415.1_ASM1678041v1_genomic.fna
GCA_016780575.1,2021,5280569,1320142.25,1477801,1469560.5,1,GCA_016780575.1_ASM1678057v1_genomic.fna
GCA_016780725.1,2021,5253435,1313358.75,1471935,1463694.5,1,GCA_016780725.1_ASM1678072v1_genomic.fna
GCA_016803855.1,2021,4986271,1246567.75,1396617,1388376.5,5,GCA_016803855.1_ASM1680385v1_genomic.fna
GCA_016803875.1,2021,5565139,1391284.75,1556566,1548325.5,6,GCA_016803875.1_ASM1680387v1_genomic.fna
GCA_016803915.1,2021,5402470,1350617.5,1511228,1502987.5,7,GCA_016803915.1_ASM1680391v1_genomic.fna
GCA_016803935.1,2021,4926859,1231714.75,1381081,1372840.5,2,GCA_016803935.1_ASM1680393v1_genomic.fna
GCA_016806005.1,2021,5155316,1288829.0,1440877,1432636.5,3,GCA_016806005.1_ASM1680600v1_genomic.fna
GCA_016806025.1,2021,5110249,1277562.25,1429566,1421325.5,2,GCA_016806025.1_ASM1680602v1_genomic.fna
GCA_016806045.1,2021,5547309,1386827.25,1553280,1545039.5,4,GCA_016806045.1_ASM1680604v1_genomic.fna
GCA_016811855.1,2021,4631417,1157854.25,1297813,1289572.5,1,GCA_016811855.1_ASM1681185v1_genomic.fna
GCA_016811875.1,2021,4631396,1157849.0,1297810,1289569.5,1,GCA_016811875.1_ASM1681187v1_genomic.fna
GCA_016834635.1,2021,5577269,1394317.25,1562053,1553812.5,2,GCA_016834635.1_ASM1683463v1_genomic.fna
GCA_016834675.1,2021,5700663,1425165.75,1597148,1588907.5,4,GCA_016834675.1_ASM1683467v1_genomic.fna
GCA_016834695.1,2021,5715173,1428793.25,1601052,1592811.5,4,GCA_016834695.1_ASM1683469v1_genomic.fna
GCA_016834715.1,2021,5660005,1415001.25,1585849,1577608.5,4,GCA_016834715.1_ASM1683471v1_genomic.fna
GCA_016834735.1,2021,5517883,1379470.75,1545478,1537237.5,2,GCA_016834735.1_ASM1683473v1_genomic.fna
GCA_016834755.1,2021,5660086,1415021.5,1586035,1577794.5,4,GCA_016834755.1_ASM1683475v1_genomic.fna
GCA_016834775.1,2021,5623490,1405872.5,1574727,1566486.5,2,GCA_016834775.1_ASM1683477v1_genomic.fna
GCA_016834795.1,2021,5578542,1394635.5,1562241,1554000.5,2,GCA_016834795.1_ASM1683479v1_genomic.fna
GCA_016834815.1,2021,5622151,1405537.75,1574676,1566435.5,2,GCA_016834815.1_ASM1683481v1_genomic.fna
GCA_016834835.1,2021,5579176,1394794.0,1562324,1554083.5,2,GCA_016834835.1_ASM1683483v1_genomic.fna
GCA_016834855.1,2021,5644531,1411132.75,1581420,1573179.5,2,GCA_016834855.1_ASM1683485v1_genomic.fna
GCA_016834875.1,2021,5574197,1393549.25,1561704,1553463.5,2,GCA_016834875.1_ASM1683487v1_genomic.fna
GCA_016834895.1,2021,5536936,1384234.0,1551505,1543264.5,3,GCA_016834895.1_ASM1683489v1_genomic.fna
GCA_016834915.1,2021,5553150,1388287.5,1555739,1547498.5,3,GCA_016834915.1_ASM1683491v1_genomic.fna
GCA_016834935.1,2021,5495755,1373938.75,1539663,1531422.5,3,GCA_016834935.1_ASM1683493v1_genomic.fna
GCA_016834955.1,2021,5579931,1394982.75,1562157,1553916.5,2,GCA_016834955.1_ASM1683495v1_genomic.fna
GCA_016834975.1,2021,5554550,1388637.5,1556405,1548164.5,3,GCA_016834975.1_ASM1683497v1_genomic.fna
GCA_016834995.1,2021,5637667,1409416.75,1578868,1570627.5,2,GCA_016834995.1_ASM1683499v1_genomic.fna
GCA_016835015.1,2021,5554580,1388645.0,1556395,1548154.5,3,GCA_016835015.1_ASM1683501v1_genomic.fna
GCA_016835035.1,2021,5596146,1399036.5,1568194,1559953.5,3,GCA_016835035.1_ASM1683503v1_genomic.fna
GCA_016835055.1,2021,5594841,1398710.25,1567829,1559588.5,3,GCA_016835055.1_ASM1683505v1_genomic.fna
GCA_016835075.1,2021,5598838,1399709.5,1568935,1560694.5,4,GCA_016835075.1_ASM1683507v1_genomic.fna
GCA_016835095.1,2021,5587570,1396892.5,1565886,1557645.5,3,GCA_016835095.1_ASM1683509v1_genomic.fna
GCA_016864175.1,2021,5140910,1285227.5,1441040,1432799.5,3,GCA_016864175.1_ASM1686417v1_genomic.fna
GCA_016864475.1,2021,4920540,1230135.0,1378880,1370639.5,2,GCA_016864475.1_ASM1686447v1_genomic.fna
GCA_016888925.1,2021,5180264,1295066.0,1451935,1443694.5,2,GCA_016888925.1_ASM1688892v1_genomic.fna
GCA_016888965.1,2021,5050101,1262525.25,1416213,1407972.5,1,GCA_016888965.1_ASM1688896v1_genomic.fna
GCA_016889025.1,2021,5237386,1309346.5,1460311,1452070.5,2,GCA_016889025.1_ASM1688902v1_genomic.fna
GCA_016889045.1,2021,5063498,1265874.5,1418262,1410021.5,3,GCA_016889045.1_ASM1688904v1_genomic.fna
GCA_016889085.1,2021,5192539,1298134.75,1455316,1447075.5,2,GCA_016889085.1_ASM1688908v1_genomic.fna
GCA_016889105.1,2021,4892135,1223033.75,1370678,1362437.5,6,GCA_016889105.1_ASM1688910v1_genomic.fna
GCA_016889125.1,2021,5232296,1308074.0,1462438,1454197.5,11,GCA_016889125.1_ASM1688912v1_genomic.fna
GCA_016889185.1,2021,5311839,1327959.75,1481363,1473122.5,2,GCA_016889185.1_ASM1688918v1_genomic.fna
GCA_016889265.1,2021,5041882,1260470.5,1411863,1403622.5,7,GCA_016889265.1_ASM1688926v1_genomic.fna
GCA_016889325.1,2021,5231008,1307752.0,1465685,1457444.5,2,GCA_016889325.1_ASM1688932v1_genomic.fna
GCA_016889485.1,2021,4861324,1215331.0,1359826,1351585.5,1,GCA_016889485.1_ASM1688948v1_genomic.fna
GCA_016889505.1,2021,5301216,1325304.0,1482064,1473823.5,5,GCA_016889505.1_ASM1688950v1_genomic.fna
GCA_016889525.1,2021,4697386,1174346.5,1311909,1303668.5,2,GCA_016889525.1_ASM1688952v1_genomic.fna
GCA_016889545.1,2021,4882325,1220581.25,1363918,1355677.5,2,GCA_016889545.1_ASM1688954v1_genomic.fna
GCA_016889565.1,2021,5084006,1271001.5,1419929,1411688.5,5,GCA_016889565.1_ASM1688956v1_genomic.fna
GCA_016889605.1,2021,5008697,1252174.25,1403227,1394986.5,3,GCA_016889605.1_ASM1688960v1_genomic.fna
GCA_016889625.1,2021,5225337,1306334.25,1463699,1455458.5,1,GCA_016889625.1_ASM1688962v1_genomic.fna
GCA_016889685.1,2021,5434756,1358689.0,1521435,1513194.5,4,GCA_016889685.1_ASM1688968v1_genomic.fna
GCA_016889725.1,2021,5438144,1359536.0,1521492,1513251.5,4,GCA_016889725.1_ASM1688972v1_genomic.fna
GCA_016889845.1,2021,5066485,1266621.25,1418927,1410686.5,7,GCA_016889845.1_ASM1688984v1_genomic.fna
GCA_016889865.1,2021,4695402,1173850.5,1315960,1307719.5,9,GCA_016889865.1_ASM1688986v1_genomic.fna
GCA_016889905.1,2021,5224343,1306085.75,1463080,1454839.5,4,GCA_016889905.1_ASM1688990v1_genomic.fna
GCA_016890005.1,2021,5058561,1264640.25,1414992,1406751.5,11,GCA_016890005.1_ASM1689000v1_genomic.fna
GCA_016890045.1,2021,5425278,1356319.5,1509052,1500811.5,3,GCA_016890045.1_ASM1689004v1_genomic.fna
GCA_016890105.1,2021,5215978,1303994.5,1459871,1451630.5,4,GCA_016890105.1_ASM1689010v1_genomic.fna
GCA_016903275.1,2021,5282986,1320746.5,1478520,1470279.5,9,GCA_016903275.1_ASM1690327v1_genomic.fna
GCA_016903315.1,2021,5526202,1381550.5,1547257,1539016.5,8,GCA_016903315.1_ASM1690331v1_genomic.fna
GCA_016903335.1,2021,5142344,1285586.0,1438686,1430445.5,2,GCA_016903335.1_ASM1690333v1_genomic.fna
GCA_016903375.1,2021,5168953,1292238.25,1447652,1439411.5,8,GCA_016903375.1_ASM1690337v1_genomic.fna
GCA_016903435.1,2021,5130876,1282719.0,1435221,1426980.5,5,GCA_016903435.1_ASM1690343v1_genomic.fna
GCA_016903535.1,2021,4825083,1206270.75,1351807,1343566.5,1,GCA_016903535.1_ASM1690353v1_genomic.fna
GCA_016903595.1,2021,5346695,1336673.75,1496985,1488744.5,4,GCA_016903595.1_ASM1690359v1_genomic.fna
GCA_016903615.1,2021,5274569,1318642.25,1478039,1469798.5,2,GCA_016903615.1_ASM1690361v1_genomic.fna
GCA_016903815.1,2021,5496727,1374181.75,1537229,1528988.5,8,GCA_016903815.1_ASM1690381v1_genomic.fna
GCA_016903835.1,2021,5170636,1292659.0,1446496,1438255.5,2,GCA_016903835.1_ASM1690383v1_genomic.fna
GCA_016903855.1,2021,5232231,1308057.75,1463018,1454777.5,10,GCA_016903855.1_ASM1690385v1_genomic.fna
GCA_016903915.1,2021,5457554,1364388.5,1525518,1517277.5,11,GCA_016903915.1_ASM1690391v1_genomic.fna
GCA_016903935.1,2021,5681879,1420469.75,1589222,1580981.5,8,GCA_016903935.1_ASM1690393v1_genomic.fna
GCA_016903995.1,2021,4967391,1241847.75,1391920,1383679.5,11,GCA_016903995.1_ASM1690399v1_genomic.fna
GCA_016904055.1,2021,5140750,1285187.5,1439825,1431584.5,3,GCA_016904055.1_ASM1690405v1_genomic.fna
GCA_016904075.1,2021,5292431,1323107.75,1478459,1470218.5,2,GCA_016904075.1_ASM1690407v1_genomic.fna
GCA_016904115.1,2021,5206932,1301733.0,1457888,1449647.5,9,GCA_016904115.1_ASM1690411v1_genomic.fna
GCA_016904175.1,2021,4823526,1205881.5,1351465,1343224.5,3,GCA_016904175.1_ASM1690417v1_genomic.fna
GCA_016904195.1,2021,5000651,1250162.75,1401659,1393418.5,3,GCA_016904195.1_ASM1690419v1_genomic.fna
GCA_016904235.1,2021,5544873,1386218.25,1548636,1540395.5,6,GCA_016904235.1_ASM1690423v1_genomic.fna
GCA_016904255.1,2021,5140426,1285106.5,1439913,1431672.5,6,GCA_016904255.1_ASM1690425v1_genomic.fna
GCA_016904335.1,2021,5343218,1335804.5,1496791,1488550.5,6,GCA_016904335.1_ASM1690433v1_genomic.fna
GCA_016904395.1,2021,4751330,1187832.5,1330640,1322399.5,2,GCA_016904395.1_ASM1690439v1_genomic.fna
GCA_016904435.1,2021,5205234,1301308.5,1458226,1449985.5,4,GCA_016904435.1_ASM1690443v1_genomic.fna
GCA_016904455.1,2021,5365154,1341288.5,1503035,1494794.5,9,GCA_016904455.1_ASM1690445v1_genomic.fna
GCA_016904475.1,2021,5120593,1280148.25,1435003,1426762.5,8,GCA_016904475.1_ASM1690447v1_genomic.fna
GCA_016904495.1,2021,5590265,1397566.25,1565074,1556833.5,12,GCA_016904495.1_ASM1690449v1_genomic.fna
GCA_016904535.1,2021,5183774,1295943.5,1449725,1441484.5,3,GCA_016904535.1_ASM1690453v1_genomic.fna
GCA_016904555.1,2021,5189441,1297360.25,1454975,1446734.5,6,GCA_016904555.1_ASM1690455v1_genomic.fna
GCA_016904575.1,2021,5082423,1270605.75,1422547,1414306.5,1,GCA_016904575.1_ASM1690457v1_genomic.fna
GCA_016904615.1,2021,5214956,1303739.0,1461746,1453505.5,7,GCA_016904615.1_ASM1690461v1_genomic.fna
GCA_016904655.1,2021,5067769,1266942.25,1419285,1411044.5,2,GCA_016904655.1_ASM1690465v1_genomic.fna
GCA_016904695.1,2021,4678626,1169656.5,1310242,1302001.5,1,GCA_016904695.1_ASM1690469v1_genomic.fna
GCA_016925075.1,2021,6088111,1522027.75,1704145,1695904.5,5,GCA_016925075.1_ASM1692507v1_genomic.fna
GCA_016925095.1,2021,5559575,1389893.75,1555628,1547387.5,5,GCA_016925095.1_ASM1692509v1_genomic.fna
GCA_016925115.1,2021,5220864,1305216.0,1462632,1454391.5,4,GCA_016925115.1_ASM1692511v1_genomic.fna
GCA_016939795.1,2021,5181914,1295478.5,1447726,1439485.5,7,GCA_016939795.1_ASM1693979v1_genomic.fna
GCA_016942475.1,2021,5230819,1307704.75,1462261,1454020.5,9,GCA_016942475.1_ASM1694247v1_genomic.fna
GCA_016942505.1,2021,5086828,1271707.0,1422825,1414584.5,8,GCA_016942505.1_ASM1694250v1_genomic.fna
GCA_016942535.1,2021,5012816,1253204.0,1403429,1395188.5,4,GCA_016942535.1_ASM1694253v1_genomic.fna
GCA_016942575.1,2021,5115476,1278869.0,1433246,1425005.5,8,GCA_016942575.1_ASM1694257v1_genomic.fna
GCA_016942595.1,2021,4681187,1170296.75,1307849,1299608.5,6,GCA_016942595.1_ASM1694259v1_genomic.fna
GCA_016942615.1,2021,4979338,1244834.5,1393698,1385457.5,3,GCA_016942615.1_ASM1694261v1_genomic.fna
GCA_016942635.1,2021,5087318,1271829.5,1424652,1416411.5,3,GCA_016942635.1_ASM1694263v1_genomic.fna
GCA_016942655.1,2021,5023026,1255756.5,1406299,1398058.5,4,GCA_016942655.1_ASM1694265v1_genomic.fna
GCA_016944635.1,2021,4953876,1238469.0,1385221,1376980.5,4,GCA_016944635.1_ASM1694463v1_genomic.fna
GCA_016944655.1,2021,4766465,1191616.25,1331007,1322766.5,5,GCA_016944655.1_ASM1694465v1_genomic.fna
